comment,curiet,debyet,element,gapene,kaizero_value,moment_value,name,neelt,nhc2zero_value,oz,pcohere_value,phc2zero_value,ppenet_value,rh300,shape,t1_value,t2_value,t3_value,tcn_value,tcsus_value,tcwidth_value,critical_temp_K,upper_critical_field_0K_T,gamma_sommerfeld_mJmolK2,resistivity_normal_uOhmcm,resistivity_roomtemp_uOhmcm,penetration_depth_nm,coherence_length_nm,dhc2dt_TK,dtcdp_KGPa,density_gcm3,lower_critical_field_0K_T,thermopower_300K_uVK,energy_gap_meV,data_quality_flag
Ce-content not given. s-wave s/c model. GAPENE by fitting parameter of PENET(T).,,,Nd1.85Ce0.15Cu1O4,1.61,,,"(Nd,Ce)2CuO4",,,,,,1150.0,,shape_03,,19.0,,,,,19.0,,,,,,,,,,,,,
Hc2(0) shows Hc2(4.2K). Jc(4.2K) in A/cm2.,,,Nb80Si16B4,,,,"(Nb,Si)0.96B0.04",,,,,,,,,,4.7,,,,,4.7,0.8,,,,,,2.39,,,,,,
,,,Y1Ba2Cu2.94Zn0.06O6.77,,,,"YBa2(Cu,Zn)3O7-d",,,6.77,,,,,shape_05,44.0,,,,,,44.0,,,,550.0,,,,,,,,,
Pseudogap temp (Rmax) = 36.3 K,,,Ba1Fe1.856Ni0.144As2,,,,"Ba(Fe,Ni)2As2",,,,,,,,shape_03,,6.14,,,,,6.14,,,,,,,,,,,,,
,,,Be13U1,,,2.6,UBe13,,,,,,,,shape_03,,,0.86,,0.85,,0.85,,1100.0,,,,,25.7,,,,,,
RRR=30,,,Nb1Se2,,,,2H-NbSe2,,,,,,,,shape_03,,7.2,,,,0.05,7.2,,,0.034,,,,0.72,,,,,,
P-induced SC. SC appears Tc(on) = 3.1K at P=2.5 GPa. Tc(max) = 7 K (in DB) at P=16.8 GPa. Hc2 measured at P = 24.6 GPa. TCFIG for three runs for different samples.,,,Te2W1,,,,WTe2,,,,,,,,shape_03,,,7.0,1.8,,,7.0,2.72,,,,,,,,,,,,
,,,Bi2Sr2Ca1Cu2Zn0.05C1.6H0.8N0.4Oz,,,,(ZnPc)Bi2Sr2CaCu2O8,,,,,,,,,,,55.5,,,,55.5,,,,,,,,,,,,,
,,,Y1Ba1.5Sr0.5Cu3Oz,,,,"Y(Ba,Sr)2Cu3Oz",,,,,,,,,,,,,90.0,,90.0,,,,,,,,2.0,,560.0,,,
,,,Na1Fe0.975Ni0.025As1,,,,"Na(Fe,Ni)As",,,,,,,,,,,,,15.4,,15.4,,,,,,,,,,,,,
"Tc from R(T) graph.  N(0) calculated from SP{gamma} data, which in not given.",,,La0.995Ce0.005Ni1C2,,,,"(La,Ce)NiC2",,,,,,,,shape_01,2.41,,,,,,2.41,,,,,,,,,,,,,
,,,Y1Ba2Cu2.95Zn0.05O6.7,,,,"YBa2(Cu,Zn)3Oz",,,6.7,,,,,shape_03,,25.0,,,,,25.0,,,,,,,,,,,,,
,,,Ba0.15La1.85Cu1O4,,,,"(La,Ba)2CuO4",,,,,,,,,21.5,28.0,34.0,,,,28.0,,,,,,,,,,,,,
,,,La1.98Sr0.02Cu1O4.09,,,,"(La,Sr)2CuO4",,,4.09,,,,,,,40.0,,,,,40.0,,,,,,,,,,,,,
,,,Hf2Ni1,,,,Hf2Ni1,,,,,,,,,,0.87,,,,,0.87,,,,,,,,,,,,,
single crystal. ,,,Nb1S2,,,,Nb1S2,,,,,,,,,,6.1,,,,,6.1,,,,,,,,,,,,,
"imp rity pheses=CaHgO2,BaCuO2",,,Hg0.75Tl0.25Ba2Ca1.72Sr0.28Cu3O8+z,,,,"(Hg,Tl)Ba2(Ca,Sr)2Cu3O8",,,,,,,,shape_01,,,,,128.0,,128.0,,,,,,,,,,,,,
"detwinned single crystal. TP300, RH300 from PRL0864907",,,Y1Ba2Cu3O6.45,,,,YBa2Cu3Oz,,24.7,6.45,37.3,,,7.76,shape_03,,20.0,,,,,20.0,,,,,,,,,,,,,
impurity phase=Ba Cu O2,,,Pr0.5Ca0.5Ba2Cu3O7-Z,,,,"(Pr,Ca)Ba2Cu3O7",,,,,,,,,,,98.0,,98.0,,98.0,,,,,,,,,,,,,
,,,Hg0.75Ba2.07Ca2.07Cu3.11O8.208,,,,HgBa2Ca2Cu3Oz,,,8.208,,,,,,,135.8,,,,,135.8,,,,,,,,,,,,,
,,,Bi2Sr2Ca0.8Lu0.2Cu2O8.27,,,,"Bi2(Sr,Ca)2(Ca,Lu)Cu2O8",,,8.27,,,,1.92e-09,shape_01,,92.5,,,,,92.5,,,,,,,,,,,,,
,,,Pb0.812Sn0.348Ti2Se5.16,,,,(Pb1-xSnxSe)1.6(TiSe2)2,,,,,,,,shape_03,,4.02,,,,,4.02,,,,,,,,,,,,,
"Tc from Phys.Rev.B, 56(1997)2848. Tc=93.6-232x",,,Nd0.94Ca0.03Th0.03Ba2Cu3O7-z,,,,"(Nd,Ca,Th)Ba2Cu3O7",,,,,,,,shape_01,,86.8,,,,,86.8,,,,,,,,,,,13.42,,
"nearly single phase The possibility of the exitence of minor phase of (Cu1-xCx)Ba2Ca3Cu4O11-y is not excluded. We, however, believe this situation would not affect our thermoelectric power result.",,,Ba2Ca3Cu5O11-y,,,,CuBa2Ca3Cu4O11-y,,,,,,,,shape_01,,,,,,,,,,,16000.0,,,,,,,,,
CDW observed in R(T) and C(T). T<CDW> = 73 K. Kondo-Temp = 4.8 K from SUS measurements.,,,Lu4.95Yb0.05Ir4Si10,,,,"(Lu,Yb)5Ir4Si10",,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,
RRR=50. pressure medium = Daphne7373. Field(H//baxis) reentrant SC measured for various P (0 < P < 0.84 GPa). Tc(max) = 0.4 K for reentrant SC. (dTm/dP) = 0.95 K/GPa  and (dTc/dP) estimated from Fig.,,,U1Rh1Ge1,,,,URhGe,,,,,,,,shape_03,,0.26,,,,,0.26,,,,,,,,-0.036,,,,,
,,252.0,Bi2Sr2Ca1Cu2O8,,,,Bi2Sr2CaCu2O8,,,,,,,,,,84.0,,,,30.0,84.0,,,,,,,,,,,,,
2223+2212LARGE AMOUNT OF 2223,,,Tl2Ca2Ba2Cu3O10,,,,Tl2Ba2Ca2Cu3O10,,,,,,,,shape_02,112.0,118.0,122.0,,,,118.0,,,,,,,,,,,1.3,,
,,,La1.75Sr0.25Cu1O4,,,,"(La,Sr)2CuO4",,,,,,,0.172,shape_06,,,18.0,,,,18.0,,,,,,,,,,,1.54,,
(dC/gamma*Tc) = 2.0. R(T) = R0 + A*T^n: n = 1.61,,260.0,Ir0.95Te2,,,,Ir0.95Te2,,,,,,,,shape_01,,4.68,,,,,4.68,,,,,,,,,,,,,
"two step transition, lower Tc = 1.91 K. dC=8.95mj/K. (dC/gamma*Tc) = 0.66.",,,Ge1.85La1,,,,LaGex,,,,,,,,shape_01,,2.17,,,,,2.17,,,,,,,,,,,,,
,,,La1Ba1.75Sr0.25Cu3O6.946,,,,"La(Ba,Sr)2Cu3Oz",,,6.946,,,,,,,72.5,,,,,72.5,,,,,,,,,,,,,
ANN(800C). Extremely underdoped sample. phase diagram shown .,,,Bi2.2Sr1.72La0.08Ca1Cu2O8,,,,"Bi2(Sr,Bi,La)2CaCu2Oz",,,,,,,,shape_03,,,,,60.5,,60.5,,,,,,,,,,,,,
,,,Y0.4Ba0.6Cu1OX,,,,,,,,,,,,,87.0,,94.0,,,,90.5,,,2.2,5.2,,,,,,,,,
,,,Nb3Al0.95Be0.05,,,,"Nb3(Al,Be)",,,,,,,,,,19.8,,,,,19.8,,,,,,,,,,,,,
pressure-induced s/c. Tc=5.1 K at P=192 kbar.,,,Ba1,,,,Ba1,,,,,,,,,,5.1,,0.0,,,5.1,,,,,,,,,,,,,
,,,Yb3Co4Sn13,,,,Yb3Co4Sn13,,,,,,,,,,2.5,,,,,2.5,,,,,,,,,,,,,
"RRR = 107. Hc2(0)=0.87T(//ab), = 0.24T(//c) for GL-approx. Hc2(0) = 0.53 T(//ab), = 0.17 T(//c) for WHH-approx. using (dHc2/dT).  (dC/gamma*Tc) = 1.71.",,161.0,Pb1Ta1Se2,,,,PbTaSe2,,,,,,,,shape_03,,,3.8,,,,3.8,,6.01,3.8,,,16.2,,,,0.009,,,
density=9.4 g/cm3. resistivity(RT)=213 microOhm.cm.,,,Ag2Pd3S1,,,,Ag2Pd3S,,,,,,,,,,1.13,,,,,1.13,,,,,,,,,,,,,
,,,Bi4Ca3Sr3Cu4O16,,,,Bi4Sr3Ca3Cu4O16,,,,,,,,,58.0,,115.0,,,,86.5,,,,5.59,3040.0,7.0,,,,110.0,,,
,,,Ba0.6K0.4Bi1O3,,,,"(Ba,K)BiO3",,,,,,,,,,31.5,,,,,31.5,,1.5,,,,,0.52,,8.1,,,,
,,,Nd1.87Ce0.13Cu1O4,,,,"(Nd,Ce)2CuO4",,,,,,,,,,,,,,,,,,,,,,,,,,-10.4,,
"Single phase ,ISOTOPE=ln(1-dTc/Tc)/ln(M16/M18). ,ISOEL=O",,,La1.85Sr0.15Cu0.99Ni0.01O4+z,,,,"(La,Sr)2(Cu,Ni)O4",,,,,,,,shape_01,,,,,30.0,,30.0,,,,,,,,,,,,,
,,,Sm1Ba2Cu2.96Ni0.04O6.88,,,,SmBa2Cu2.96Fe0.04O7+-Z,,,6.88,,,,,shape_01,,83.0,,,88.0,,83.0,,,,,,,,,,,,,
Tetra-to-collapsed tetra transition has thermal hysteress (cooling and warming).,,,Ca1Fe2As1.86P0.14,,,,"CaFe2(As,P)2",,,,,,,,shape_03,,,20.0,,,,20.0,,,,,,,,,,,,,
"Au2Pb0.95. RRR = 9. Tc(P=1GPa) = 1.1 K.  Structural phase transitions at T1 = 97, T2 = 51, T3 = 40 K from R(T).",,133.0,Au2Pb1,,,,Au2Pb,,,,,,,,shape_03,,1.2,,,,,1.2,,1.9,,35.9,,,,,,,,,
,,,Tm1Ni1.92Co0.16B2C1,,,,"Tm(Ni,Co)2B2C",,,,,,,,shape_01,,4.4,,,,,4.4,,,,,,,,,,,,,
,,,Y1Ba2Cu3O6.8,,,,YBa2Cu3O7,,,6.8,,,,,,,93.9,,,,,93.9,,,,7.56,,,,,,,,,
,,,Bi1Re2,,,,Bi1Re2,,,,,,,,,,2.2,,,,,2.2,,,,,,,,,,,,,
Thermopower = -5.32uV/K at 30 C.,,,Y1In2.25Pb0.75,,,,"Y(In,Pb)3",,,,,,,,shape_01,,0.6,,,,,0.6,,,,,,,,,,,,,
,,,Na0.3Co1D2.8O3.4,,,,Na0.3CoO2:1.4D2O,,,,,,,,shape_01,,,4.5,,4.5,,4.5,,16.4,,,,,,,,,,,
,,,Gd0.5Ca0.35Mo0.15Ba2Cu3O6.586,,,,"(Gd,Ca,Mo)Ba2Cu3O7",,,6.586,,,,,shape_01,,77.7,,,,,77.7,,,,,,,,,,,,,
(PB0.5CU0.5)SR2(CA0.5GD0.5)CU2O7,,,Pb0.5Sr2Ca0.5Gd0.5Cu2.5O7,,,,"(Pb,Cu)Sr2(Ca,R)Cu2O7",,,,,,,,shape_01,,60.0,,,,,60.0,,,,,,,,,,,,,
"SEMICONDUCTOR-LIKE,2223 PHASE DOMINANT",,,Bi1.3Pb0.5Sb0.2Sr2Ca2Cu3OX,,,,"(Bi,Pb,Sb)2Sr2Ca2Cu3O10",,,,,,,,shape_02,70.0,,115.0,,,,92.5,,,,,,,,,,,,,
,,,Pr1Ba2Cu2.925Zn0.075O7-d,,,2.95,"PrBa2(Cu,Zn)3O7",16.0,,,,,,,shape_01,,,,,,,,,,,,,,,,,,,,
residual gamma = 32.0 mJ/mol.K2. delta-C/gamma*Tc = 1.46,,,Sr2Ru1O4,,,,Sr2RuO4,,,,,,,,shape_03,,,,,0.79,,0.79,,41.8,,,,,,,,,,,
,,,Hf1V2,,,,HfV2,,,,,,,,,,9.67,,,,,9.67,,,,,,,4.3,,,,,,
,,,Y1Ba2Cu2.97Co0.03O6.96,,,,"YBa2(Cu,Co)3O7",,,6.96,,,,,,,92.0,,,,,92.0,,,,,,,,,,,,,
"20um particle size, as-grown",,,Y1Ba2Cu3O6.9,,,,YBa2Cu3Oz,,,6.9,,,,,shape_01,,,,,93.0,,93.0,,,,,,,,,,,,,
,,,Rb2K1C60,,,,Rb2KC60,,,,,,,,,,26.4,,,,,26.4,,,,,,,,,,,,,
"A novel vortex distribution in betha-Bi2Pd has been observed with SOT and MFM, influenced by the defects.",,,Bi2Pd1,,,,betha-Bi2Pd,,,,,,,,shape_03,,,,,,0.03,5.0,6000.0,,,,132.0,23.5,,,,,,,
,,,Bi2Sr2Ca0.95La0.05Cu2O8+Z,,,,"Bi2Sr2(Ca,La)Cu2O8",,,,,,,,shape_03,,,,,64.4,,64.4,,,,,,,,,,,,,
,,,Co0.5Ni0.5V3,,,,Co0.5Ni0.5V3,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
heat to 350C in air-then furnace cool,,,Tl2Ba2Cu1O6-z,,,,Tl2Ba2CuO6,,,,,,,,shape_03,,20.0,,,,,20.0,,,,,,,,,,,,,
,,,Tl2Ba2Ca1Cu2O8,,,,Tl2Ba2CaCu2O8,,,8.0,,,,,shape_01,,87.0,,,,,87.0,,,,,,,,,,,,,
"FREE-FLOWING POWDER ORIENTED WITH H//ABPLANE,PENET FROM MAGNETIZATION",,,Y1Ba2Cu3OZ,,,,YBa2Cu3O7,,,,,,,,shape_01,87.5,91.1,92.1,,,,91.1,,,,,2200.0,,,,,,,,
using zone refined Nb.,,,Nb0.95W0.05,,,,Nb1-xWx,,,,,,,,,,7.25,,,,,7.25,,,,,,,,,,,,,
,,,Bi1.8Pb0.2Sr2Ca2Cu3OX,,,,"(Bi,Pb)2Sr2Ca2Cu3O10",,,,,,,,shape_01,99.6,107.0,,,,9.0,107.0,,,,5.3,,,0.81,,,,,,
Y124+Y123,,,Y0.99Ca0.01Ba2Cu4O8,,,,"(Y,Ca)Ba2Cu4O8",,,,,,,,shape_02,78.0,,,,,,78.0,,,,,,,,,,,,,
"HIGHLY TEXTURED,J//FORGING AXIS",,,Y1Ba2Cu3O7-Z,,,,YBa2Cu3O7,,50.0,,,190.0,,,,,91.5,,,,,91.5,,,,6.4,,,1.15,,,1300.0,,,
"R(T) has minimum at 17.3 K. SP-heat coeffic.: (beta) = 2.97 mJ/mol.K4, (delta) = -0.00738 mJ/mol.K6.  (dC/gamma:Tc) = 1.2.",,,Nb2Pd1S4.5Se0.5,,,,"Nb2Pd2(S,Se)5",,,,,,,,shape_01,,,4.27,,,,4.27,14.6,19.2,,,,,,,,,,,
all nost single phase,,,Sr2Cu1O3.1,,,,Sr2CuO3,,,3.1,,,,,shape_01,4.0,70.0,80.0,,70.0,,70.0,,,,,,,,,,,,,
,,,La7Ru3,,0.00012,,La7Ru3,,,,,,,,,,1.75,,,,,1.75,,,220.0,,,,,,,,,,
,,,Nd1Sr1.5Ba0.5Cu2.7Mo0.3Oz,,,,"Nd(Sr,Ba)2(Cu,Mo)3Oz",,,,,,,,,15.0,,30.0,,,,22.5,,,,,,,,,,,36.9,,
"compositions by WDS, not bulk SC. SC maybe from Ni-Bi compounds (but not detected by XRD.",,,La1Ni0.84Bi2.04,,,,LaNi1-xBi2+y,,,,,,,,shape_03,,,4.41,,,,4.41,,,,,,,,,,,,,
,,,Ge1Nb3,,,,Nb3Ge,,,,,,,,,,19.4,,,,,19.4,23.5,,,,,,1.76,,,,,,
under doped. O-content not measured. Tc(max)=  K(P=10.5GPa).,,,Bi2Sr2Ca1Cu2O8+z,,,,Bi2Sr2CaCu2O8,,,,,,,,shape_03,,86.0,,,,,86.0,,,,,,,,1.3,,,,,
CARRIER IN E+21/CM3,,,Y0.5Pr0.5Ba2Cu3O7,,,,,,,,,,,,shape_03,,23.36,,,,,23.36,,,,,,,,,,,,,
"Hc2(WHH) = 40.7 T(//ab),  25.3 T(//c), Maki-parameter:  (alpha) = 0.38 , (s-o) = 0 , Anisotropy (Hc2) =  1.04 at 0 K.",,,Ba1Fe1.925Ni0.075As2,,,,"Ba(Fe,Ni)2As2",,36.7,,,38.3,,,shape_03,,,13.7,,,,13.7,,,,,,,,,,,,,
,,,Y1Ba2Cu4O8,,3.6e-07,0.08,"YBa2(Cu,Fe)O8",,,,,,,,,,,76.9,,,3.5,76.9,,,,,,,,,,,,,
abres = for parallel to a-axis,,,Y1Ba2Cu3O6.78,,,,YBa2Cu3O7,,,6.78,,,,,shape_03,,82.0,,,,2.0,82.0,,,,,,,,,,,,,
,,,Mg0.93Na0.07B2,,,,"(Mg,Na)B2",,,,,,,,shape_01,,38.0,,,,,38.0,,,,,,,,,,,,,
,,,Bi2.15Sr1.85Cu1O6+z,,,,"Bi2(Sr,Bi)2CuO6",,,,,,,,shape_03,,6.5,,,,,6.5,,,,0.65,,,,,,,-13.88,,
"Caution (Schon's FET data). hole-doped sample (by FET). Tc shows Tc(max), which is obtained for hole/C60 = 3.2.",,,H1Cl3C61,,,,(CHCl3)C60,,,,,,,,,,80.0,,,,,80.0,,,,,,2.0,,,,,,,
not s/c,,,La0.85Sr1.15Fe1O4,,,,"(La,Sr)2(Cu,Fe)O4",,,,,,,,shape_01,,,,10.0,,,,,,,14080000.0,,,,,,,,,
,,,La1F2Bi1S1Se1O0.8,,,,"La(O,F)BiSSe",,,,,,,,shape_01,3.8,,,,3.8,,3.8,,,1380.0,,,,,,,,-24.9,,
Na- intercalated,,,Na0.28Hf1N1Cl1,,,,NaxHfNCl,,,,,,,,,,23.0,,,,,23.0,,,,,,,,,,,,,
F-content shows nominal value. 0223 + 0234 phases,,,Ba2Ca2Cu3F0.8O7.2+z,,,,"Bi2Ca2Cu3O6(O,F)2",,,,,,,,shape_02,,,,,120.0,,120.0,,,,,,,,,,,,,
broad transition,,,Y1Pt1.5Au0.6B2.4C1.2,,,,,,,,,,,,,,5.8,,,,,5.8,,,,,,,,,,,,,
"FIG shows Hc2(T), Hc1(0). G-L parameter = 10.",,,Y1Ni2B2C1,,,,YNi2B2C,,,,,,,,,,13.8,,,,,13.8,80.0,,,,48.0,6.0,,,,0.08,,,
,,,Hg0.7V0.3Sr1.3La0.7Cu1O4+z,,,,,,,,,,,,,,51.8,,,,,51.8,,,,3.74,,,,,,,-3.59,,
"Rb-, and Fe-content by ICP. Semicon-Metal transition at 150 K. Anisotropy = 3.5.",,,Rb0.76Fe1.62Se2,,,,RbxFeySe2,,42.0,,,145.0,,,shape_03,28.0,,31.0,,,,29.5,,,,,,,,,,,,,
,,,La1.82Ba0.18Cu1O4,,,,"(La,Ba)2CuO4",,,,,,,,,,,,,22.0,,22.0,,,,,,,,,,,,,
"ANN(1000C,3d). AlB2phase + Si",,,Ca1Cu0.25Si1.7,,,,CaCuxSiy,,,,,,,,,3.2,,,,3.2,,3.2,,,,,,,,,,,,,
,,,La1Fe0.7Ru0.3As1F0.11O0.89,,,,"La(O,F)(Fe,Ru)As",0.0,,,,,,,,,18.3,,,,,18.3,42.1,,,,,,,,,,,,
,,,Rh0.01Ti0.99,,,,Ti1-xRhx,,,,,,,,,,2.4,,,,,2.4,,,,,,,,,,,,,
,,,Mo0.8W0.2C1,,,,"(Mo,W)C",,,,,,,,,,12.0,,,,,12.0,,,,,,,,,,,,,
"247,123 ,OTHER IMPURITY PFASESEXIST",,,Eu1Ba2Cu4O8,,,,EuBa2Cu4O8,,,,,,,,,63.0,67.0,69.0,,,,67.0,,,,,,,,,,,,,
,,,Cu0.5Tl0.5Ba2Ca2Cu3O10-z,,,,"(Cu,Tl)Ba2Ca2Cu3O10",,,,,,,,,108.0,,,,,,108.0,,,,,,,,,,,,,
,,,Tl2Ba2Cu1O6+z,,,,Tl2Ba2CuO6,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,
sp-heat measured between 0.9 and 12 K.. not SC.,,261.0,Rh0.02Zr0.98,,,,Zr1-xRhx,,,,,,,,,,,,0.9,,,,,3.83,,,,,,,,,,,
O-content by iodometry.,,,La1.05Ba1.5Ca0.45Cu3O6.81,,,,"La(Ba,La,Ca)2Cu3O7",,,6.81,,,,,shape_01,71.0,,,,74.0,,74.0,,,,,,,,,,,,,
,,,Pd0.05Rh0.04Ti0.91,,,,Pd0.05Rh0.04Ti0.91,,,,,,,,,,3.7,,,,,3.7,,,,,,,,,,,,,
,,,Ca1Fe0.85Co0.15As1F1,,,,"CaF(Fe,Co)As",,,,,,,,,,,21.2,,,,21.2,,,,,,,,,,,,,
,,,Gd1Ba2Cu2.7Fe0.3OZ,,,3.32,"GdBa2(Cu,Fe)3O7",,,,,,,,,,36.2,,,,,36.2,,,,,,,,,,,,,
"RRR=1.47. SP(beta)=0.28 mJ/mol.K4, SP(delta)=0.004 mJ/mol.K6. (dC/gamma*Tc) = 1.53. Hc2(0) = 9.77 T from WHH. Hc(0) = 126.7 mT. GL = 68. e-Ph = 0.63.",,364.0,Hf1Re6,3.64,,,Re6Hf,,,,,,,,shape_01,,,5.96,,5.94,0.41,5.94,12.2,27.2,106.12,,353.8,5.2,2.36,,,0.0056,,0.94,
,,,Ta0.75Zr0.25B1,,,,Ta1-xZrxB,,,,,,,,shape_01,,6.0,,,,,6.0,,,,,,,,,,,,,
,,,Bi1Sr0.65Nd0.35Cu1OY,,,,"Bi2(Sr,Nd)3Cu2O8",,,,,,,,,,10.21,,,,,10.21,,,,,,,,,,,,,
,,,Y1Ba2Cu3O6.007,,,,"(Y,Ca)Ba2Cu3O6",,,6.007,,,,,,,,,4.2,,,,,,,,,,,,,,,,
,,,Mg1C1Ni2.6Ru0.4,,,,"MgC(Ni,Ru)3",,,,,,,,,,2.14,,,,,2.14,,17.5,,,,,,,,,,,
,,,Tm1Ba2Cu3O6.41,,,,TmBa2Cu3Oz,,,6.41,,,,,,,,19.0,,,,19.0,,,,,,,,,,,,,
,,,Bi1.4Pb0.5Sb0.1Sr2Ca2Cu3O10-X,,,,"(Bi,Pb,Sb)2Sr2Ca2Cu3O10",,,,,,,,shape_01,,106.9,,,,,106.9,,,,,,,,,,,,,
quench,,,Pb0.6Cu0.4Sr1La1Cu1O5.09,,,,"(Pb,Cu)(Sr,La)CuOz",,,5.09,,,,,,,36.7,,,,,36.7,,,,,,,,,,,,,
"Hc(0)=0.79T, G-L parameter=151",,,Tl2Ba2Ca2Cu3O10,,,,Tl2Ba2Ca2Cu3O10,,,,12.4,,2100.0,,shape_01,,118.0,,,,3.0,118.0,212.0,,,,,,2.4,,,0.0186,,,
,,,La1Fe1As0.6P0.4O1,,,,"LaOFe(As,P)",,,,,,,,shape_01,,5.0,,,,,5.0,,,,,,,,,,,,,
Zn-content 0.09  by EDX.,,,Ba0.5K0.5Fe1.8Zn0.2As2,,,,"(Ba,K)(Fe,Zn)2As2",,,,,,,,,,34.3,,,,,34.3,,,,,,,,,,,,,
,,,Eu1Ba2Cu3OZ,,,,"EuBa2(Cu,Zn)3O7",,,,,,,,,,93.0,,,,,93.0,,,,,,,,1.2,,,,,
Bi2212-phase = 100%.,,,Bi1.6Pb0.4Sr2Ca2.9Sm0.1Cu3Oz,,,,"(Bi,Pb)2Sr2(Ca,Sm)2Cu3Oz",,,,,,,,shape_01,70.0,,88.0,,,,79.0,,,,,,,,,,,,,
,,,B5Mo1.9Y0.1,,,,B5Mo1.9Y0.1,,,,,,,,,,8.0,,,,,8.0,,,,,,,,,,,,,
"The transport characteristics in 2D superconductor NbC are understood in terms of coupled Josephson junctions, forming between isolated NbC crystals.",,,Nb1C1,,,,NbC,,,,,,,,shape_04,,,,,,,7.0,,,,,,,,,,,,,
,,,V0.75Si0.225Al0.025,,,,V1-x-ySixAly,,,,,,,,,,13.5,,,,,13.5,,,,,,,,,,,,,
,,,Y0.95Ca0.05Ba1.8Nd0.2Cu3OZ,,,,"(Y,Ca)(Ba,Nd)2Cu3O7",,,,,,,,,84.2,87.0,,,,2.8,87.0,,,,,,,,,,,,,
Tc defined as Tc(on). Neel-T defined as dM/dH peak.,,,Er0.4Tb0.6Ni2B2C1,,,,"(Er,Tb)Ni2B2C",11.0,,,,,,,shape_03,,2.0,,,,,2.0,,,,,,,,,,,,,
DOS estimated to be 5.7 states/eV/f.u.,,,Ba1Ti2Sb2O1,,,,BaTi2Sb2O,,,,,,,,shape_01,,1.2,,,,,1.2,1.32,,,,,15.8,,,,,,,
concentration by EPMA. Mother compound SnTe has 1.2% Sn vacancy from RH. RRR = 1.74. Tc(SP) = 1.94. (dC/gamma*Tc) = 1.16,,,Sn0.904In0.084Te1,,,,Sn1-xInxTe,,,,,,,,shape_03,,,1.76,,,,1.76,,1.19,475.0,,,,,,,,,,
thickness=750A. Ce-content by ICP. second Tc = 20.7K.,,,Pr1.885Ce0.115Cu1O4-z,,,,"(Pr,Ce)2CuO4",,,,,,,,shape_05,,,13.0,,,3.9,13.0,,,,,389.0,,,,,,,,
,,,Bi2S2O1,,,,Bi2OS2,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
,,,Y1Sr2Cu2.7Re0.3O7.2,,,,"YSr2(Cu,Re)3O7",,,7.2,,,,,shape_01,44.0,,,,,,44.0,,,,,,,,,,,,,
Hc2(T) = Hc2(0)*(1-t^(1.5))^(1.5).,,,Ba1Au0.3Si1.7,,,,BaAuxSi2-x,,,,,,,,shape_01,,,,,3.2,,3.2,3.7,,,,66.0,1.0,,,,0.0015,,,
,,,Y1Ba2Cu2.7Co0.3OZ,,,,"YBa2(Cu,Co)3O7",,,,,,,,,,23.2,,,,,23.2,,,,,,,,,5.36,,,,
Tc measured for MRh4B4 + 2[RhB] material. structure type not clear.,,,Y1Rh4B4,,,,YRh4B4,,,,,,,,,11.26,11.34,,,,,11.34,,,,,,,,,,,,,
,,,Dy1Ba2Cu3O6.68,,,,DyBa2Cu3O7,,,6.68,,,,,shape_01,,90.0,,,92.0,,90.0,,,,,,,,,,,,,
,,,Sr1Ti1O3,,,,Sr1Ti1O3,,,,,,,,,,0.2,,,,,0.2,,,,,,,,,,,,,
,,,Y1Sr2Cu2.6Co0.4O6.5,,,,"YSr2(Cu,Co)3O7",,,6.5,,,,,shape_01,,,,4.2,,,,,,,,,,,,,,,,
,,,Bi2Sr2Ca1Cu2O8.293,,,,,,,8.293,,,2320.0,,shape_03,,87.5,,,,,87.5,,,,,,,,,,,,,
,,,Nb3Al0.39Ge0.61,,,,,,,,,,,,,,7.3,,,,,7.3,,,,,,,,,,,,,
,,,Y1Ba2.85Pr0.15Cu3O7-z,,,,"Y(Ba,Pr)2Cu3O7",,,,,,,,shape_01,,,,,83.6,,83.6,,,,,,,,,,,,,
"20um particle size, ANN(450C, 4H inHe)+ANN(260C, 0.5H in Br2)",,,Y1Ba2Cu3O6.6,,,,YBa2Cu3Oz,,,6.6,,,,,shape_01,,,,,92.0,,92.0,,,,,,,,,,,,,
,,,Y1Ba2Cu2.85Co0.15O6.92,,,,"(Y,Ca)Ba2(Cu,Co)3O7",,,6.92,,,,,shape_02,,71.0,,,,,71.0,,,,,,,,,,,,,
porosity=0.19,,,Y1Ba2Cu3Co0.1OZ,,,,YBa2Cu3O7,,,,,,,,shape_01,,91.0,,,,,91.0,,,,,,,,,5.18,,,,
,,,Tl2Ba2Ca0.8Y0.2Cu2O8+Z,,,,"Tl2Ba2(Ca,Y)Cu2O8",,,,,,,,shape_01,71.0,85.0,,,,,85.0,,,,19.8,,,,,,,,,
,,,Tl1Sr1.5Tm0.5Ca1Cu2O7,,,,"Tl(Sr,Tm)2CaCu2O7",,,,,,,,shape_01,83.0,,,,84.0,,84.0,,,,,,,,,,,,,
,,,La0.8Eu0.2Ca1Ba1Cu3OZ,,,,"(La,Eu)CaBaCu3O7",,,,,,,,shape_01,,69.0,,,,,69.0,,,,8.61,,,,,,,,,
,,,Nb5Sb4,,,,Nb5Sb4,,,,,,,,,,8.6,,,,,8.6,,,,,,,,,,,,,
