comment,curiet,debyet,element,gapene,kaizero_value,moment_value,name,neelt,nhc2zero_value,oz,pcohere_value,phc2zero_value,ppenet_value,rh300,shape,t1_value,t2_value,t3_value,tcn_value,tcsus_value,tcwidth_value,critical_temp_K,upper_critical_field_0K_T,gamma_sommerfeld_mJmolK2,resistivity_normal_uOhmcm,resistivity_roomtemp_uOhmcm,penetration_depth_nm,coherence_length_nm,dhc2dt_TK,dtcdp_KGPa,density_gcm3,lower_critical_field_0K_T,thermopower_300K_uVK,energy_gap_meV,data_quality_flag
tetra-to-triclinic transition below 130 K.  R<ab> = 0.07 & R<c> = 4.69 mOhm.cm at 300K. RRR = 8. (dC/gamma*Tc) = 1.38,,250.0,Ba1Ni2As2,,,,BaNi2As2,,,,,,,,shape_03,0.69,,1.5,,,,1.095,0.069,13.2,,,,69.10000000000001,0.142,,,,,,
"detailed structure analysis using X-ray, NMR, NED.",,,Hg0.65V0.35Sr2.4Nd0.6Cu2O6+z,,,,"(Hg,V)Sr2(Nd,Sr)Cu2O6+z",,,,,,,,shape_01,,,,,67.0,,67.0,,,,,,,,,,,,,
,,,Eu1Ba1.9Pr0.1Cu3O6.75,,,,"Eu(Ba,Pr)2Cu3O7",,,6.75,,,,,shape_01,66.0,,70.0,,73.0,,73.0,,,,,,,,,,,,,
Tc was measured for MRh4B4 + 2[RhB] material. structure type not clear.,,,Th1Rh4B4,,,,ThRh4B4,,,,,,,,,4.29,4.34,,,,,4.34,,,,,,,,,,,,,
,,,Bi1Ti3,,,,Bi1Ti3,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,
,,,La1.81Sr0.19Cu0.96Ga0.04O4,,,,"(La,Sr)2(Cu,Ga)O4",,,,,,,,shape_01,,,,,,,,,,,,,,,,,,10.0,,
Tc(SP) = 2.29 K.  Metal to CDW/SDW transition at T* (RES) = 44.5 K,,,Ba1Ti2Sb1.8Sn0.2O1,,,,"BaTi2(Sb,Sn)2O",,,,,,,,shape_01,,2.2,,,,,2.2,,,,,,,,,,,,,
R not zero down to 0K. Tanom = 80 K.,,,Ce1Fe0.98Co0.02As1H1,,,,"Ce(Fe,Co)AsH",,,,,,,,shape_01,,,,,2.0,,2.0,,,3590.0,,,,,,,,,,
polycrystall,,,Y1Ba2Cu3O7,,,,YBa2Cu3O7,,152.0,,,,,,shape_04,,,,,92.0,,92.0,,,,,,,,,,,,,
,,,Y1Ba2Cu3O7-z,,,,YBa2Cu3O7,,,,,,,,shape_01,,91.0,,,,,91.0,,,,,,,,,,,,,
,,,Y1Ba2Cu3F0.15O6.7,,,,YBa2Cu3OzFx,,,6.7,,,,,,,,,,89.5,,89.5,,,,,,,,,,,,,
delta-phase Mo-C stabilized by addition of 3rd element.,,,Mo0.95Hf0.05C0.65,,,,"delta-(Mo,Hf)Cx",,,,,,,,,,8.81,,,,,8.81,,,,,,,,,,,,,
,,,Tm0.95Ca0.05Ba2Cu4O8,,,,"(Tm,Ca)Ba2Cu4O8",,,,,,,,,84.8,,,,,,84.8,,,,,,,,,,,,,
stoichiometric (z=4.0) sample/ Phase = T + T'. Substrate = LaAlO3(a = 3.793 A). thickness = 450 A.,,,La1.91Ce0.09Cu1O4,,,,"(La,Ce)2CuO4",,,4.0,,,,,shape_05,,22.5,,,,,22.5,,,,,,,,,,,,,
HC1 MEASURED BY EPR X-BAND,,,Y0.9Er0.1Ba1.9Sr0.1Cu3O7-Z,,,,"(Y,Er)(Ba,Sr)2Cu3O7",,,,,,,,shape_01,,88.0,,,,,88.0,83.0,,,,1400.0,15.0,,,,190.0,,,
"Td1(HTT-MTO transition) = 232 K, Td2(MTO-LTT transition) = 60 K, incommensulability : delta = 0.118",,,La1.875Ba0.125Cu1O4,,,,"(La,Ba)2CuO4",50.0,,,,,,,shape_03,,4.0,,,,,4.0,,,,,,,,,,,,,
"THICKNESS=3410A,COHERE AB/C=17.2",,,La1.76Sr0.24Cu1O4,,,,"(La,Sr)2CuO4",,,,39.0,,,,shape_05,,19.0,,,,,19.0,,,,,,,,,,,,,
not SC. AFM for T < Tn,,,Ce1Au2Si2,,,1.29,CeAu2Si2,10.0,,,,,,,shape_01,,,,0.0,,,,,,,,,,,,,,,,
,,,Nd0.4Ba0.6Cu1OX,,,,,,,,,,,,,,85.0,93.0,,,,85.0,,,,,,,,,,,,,
"demagnetization factor between0.7and0,95",,,Bi2Sr2Ca1Cu2O8+z,,,,Bi2Sr2CaCu2O8,,,,,,2200.0,,shape_03,,85.0,,,,,85.0,,,,,,,,,,,,,
x = 0.15(in Ca1-xRxFeAs2) is the best for SC. Pr-content not given,,,Ca0.85Pr0.15Fe1As2,,,,"(Ca,Pr)FeAs2",,,,,,,,shape_03,,21.0,24.6,,24.5,,21.0,,,,,,,,,,,,,
porosity=0.27,,,Y1Ba2Cu2.9OZ,,,,"YBa2(Cu,Co)3O7",,,,,,,,shape_01,,74.0,,,,,74.0,,,,,,,,,4.62,,,,
,,,In0.075Sn0.925,,,,Sn1-xInx,,,,,,,,,,3.766,,,,,3.766,,,,,,,0.0265,,,,,,
,,,Nd1.47La0.4Ce0.13Cu1O4-d,,,,"(Nd,La,Ce)2CuO4",,,,,,,,shape_02,13.0,,26.0,,22.0,,22.0,,,,,,,,,,,,,
,,,Be5Rh1,,,,Be5Rh1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
,,,La1Os4Sb12,,,,LaOs4Sb12,,,,,,,,shape_03,,0.74,,,,,0.74,0.04,,,,470.0,91.0,,,,0.0012,,,
"T=1050, P=2.1, 2H",,,Sr2Tm1Cu3O7.48,,,,CuSr2TmCu2Oz,,,7.48,,,,,,,,,,55.0,,55.0,,,,,,,,,,,,,
,,,La1.4Sr1.6Mn1.9Cu0.1O7,,,,"(La,Sr)3(Mn,Cu)2O7",,,,,,,,shape_06,,,,,,,,,,,,,,,,,,,,
,,,Y1Ba1.99Cu2.847Ag0.153O6.7,,,,"YBa2(Cu,Ag)3O7",,,,,,,,,,86.0,92.0,,,,86.0,,,,,,,,,,,,,
Curie-T from SUS.,6.0,,Ga6Pr1,,,3.31,PrGa6,9.1,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,
"kappa-1(GL) = 87, 15 for H//ab and H//c, respectively. Hc(0) = 73 mT from SP. Hp(Pauli limit) = 6.7 T. Hc2 measured by SUS, thermal expansion, magnetostriction.",,,K1Fe2As2,,,,KFe2As2,,1.5,,,5.0,,,shape_03,,3.4,,,,,3.4,,103.0,,,,,,,,,,,
"[penet], [gap] obtained from muon-SR fitting",,,Bi2Pd1,3.74,,,beta-PdBi2,,,,,,,,shape_03,,4.84,,,,,4.84,,,,,263.0,,,,,0.0061,,0.78,
,1.42,,Ca1La1Ba1Cu2.76Fe0.24O7,,,3.37,"CaLaBa(Cu,Fe)O7",,,,,,,,,,,,,22.0,,22.0,,,,,,,,,,,,,
impurity phase=SrRuO8,,,Ru0.9Sr2Gd1Cu2.1O8+z,,,,"(Ru,Cu)Sr2GdCu2O8",,,,,,,,shape_01,,65.0,,,,,65.0,,,,,,,,,,,,,
polycrystall,,,La1.775Sr0.225Cu1O4,,,,"(La,Sr)2CuO4",,,,,,,,shape_04,,20.0,25.0,,,,20.0,,,,,,,,,,,,,
